season,week,pageviews,celebrity_name,wiki_title
22,4,7899,Antonio Brown,Antonio Brown
22,5,11384,Antonio Brown,Antonio Brown
22,6,101054,Antonio Brown,Antonio Brown
22,7,20891,Antonio Brown,Antonio Brown
22,10,29668,Antonio Brown,Antonio Brown
22,11,61746,Antonio Brown,Antonio Brown
22,12,39083,Antonio Brown,Antonio Brown
22,13,19815,Antonio Brown,Antonio Brown
22,16,34479,Antonio Brown,Antonio Brown
22,4,3872,Doug Flutie,Doug Flutie
22,5,11435,Doug Flutie,Doug Flutie
22,6,108412,Doug Flutie,Doug Flutie
22,7,45821,Doug Flutie,Doug Flutie
22,10,14892,Doug Flutie,Doug Flutie
22,11,14119,Doug Flutie,Doug Flutie
22,12,130229,Doug Flutie,Doug Flutie
22,13,51975,Doug Flutie,Doug Flutie
22,16,151961,Doug Flutie,Doug Flutie
22,4,4506,Geraldo Rivera,Geraldo Rivera
22,5,11282,Geraldo Rivera,Geraldo Rivera
22,6,28708,Geraldo Rivera,Geraldo Rivera
22,7,12039,Geraldo Rivera,Geraldo Rivera
22,10,26095,Geraldo Rivera,Geraldo Rivera
22,11,14311,Geraldo Rivera,Geraldo Rivera
22,12,93625,Geraldo Rivera,Geraldo Rivera
22,13,26675,Geraldo Rivera,Geraldo Rivera
22,16,86246,Geraldo Rivera,Geraldo Rivera
22,4,14599,Ginger Zee,Ginger Zee
22,5,54715,Ginger Zee,Ginger Zee
22,6,69114,Ginger Zee,Ginger Zee
22,7,27830,Ginger Zee,Ginger Zee
22,10,31851,Ginger Zee,Ginger Zee
22,11,77008,Ginger Zee,Ginger Zee
22,12,56307,Ginger Zee,Ginger Zee
22,13,37837,Ginger Zee,Ginger Zee
22,16,82757,Ginger Zee,Ginger Zee
22,4,12637,Jodie Sweetin,Jodie Sweetin
22,5,21625,Jodie Sweetin,Jodie Sweetin
22,6,171428,Jodie Sweetin,Jodie Sweetin
22,7,73159,Jodie Sweetin,Jodie Sweetin
22,10,58752,Jodie Sweetin,Jodie Sweetin
22,11,59792,Jodie Sweetin,Jodie Sweetin
22,12,147556,Jodie Sweetin,Jodie Sweetin
22,13,57690,Jodie Sweetin,Jodie Sweetin
22,16,201733,Jodie Sweetin,Jodie Sweetin
22,4,3358,Kim Fields,Kim Fields
22,5,7929,Kim Fields,Kim Fields
22,6,72209,Kim Fields,Kim Fields
22,7,25748,Kim Fields,Kim Fields
22,10,34929,Kim Fields,Kim Fields
22,11,12646,Kim Fields,Kim Fields
22,12,72667,Kim Fields,Kim Fields
22,13,29516,Kim Fields,Kim Fields
22,16,100443,Kim Fields,Kim Fields
22,4,23073,Marla Maples,Marla Maples
22,5,43100,Marla Maples,Marla Maples
22,6,313005,Marla Maples,Marla Maples
22,7,49291,Marla Maples,Marla Maples
22,10,150410,Marla Maples,Marla Maples
22,11,116051,Marla Maples,Marla Maples
22,12,255537,Marla Maples,Marla Maples
22,13,78069,Marla Maples,Marla Maples
22,16,334015,Marla Maples,Marla Maples
22,4,11472,Mischa Barton,Mischa Barton
22,5,18006,Mischa Barton,Mischa Barton
22,6,129097,Mischa Barton,Mischa Barton
22,7,26261,Mischa Barton,Mischa Barton
22,10,36158,Mischa Barton,Mischa Barton
22,11,30957,Mischa Barton,Mischa Barton
22,12,168837,Mischa Barton,Mischa Barton
22,13,27963,Mischa Barton,Mischa Barton
22,16,133573,Mischa Barton,Mischa Barton
22,4,20699,Nyle DiMarco,Nyle DiMarco
22,5,228475,Nyle DiMarco,Nyle DiMarco
22,6,136356,Nyle DiMarco,Nyle DiMarco
22,7,43853,Nyle DiMarco,Nyle DiMarco
22,10,56139,Nyle DiMarco,Nyle DiMarco
22,11,104185,Nyle DiMarco,Nyle DiMarco
22,12,103046,Nyle DiMarco,Nyle DiMarco
22,13,93737,Nyle DiMarco,Nyle DiMarco
22,16,114655,Nyle DiMarco,Nyle DiMarco
22,4,18187,Paige VanZant,Paige VanZant
22,5,112306,Paige VanZant,Paige VanZant
22,6,90732,Paige VanZant,Paige VanZant
22,7,44633,Paige VanZant,Paige VanZant
22,10,68407,Paige VanZant,Paige VanZant
22,11,92708,Paige VanZant,Paige VanZant
22,12,82424,Paige VanZant,Paige VanZant
22,13,53056,Paige VanZant,Paige VanZant
22,16,59920,Paige VanZant,Paige VanZant
22,4,4112,Von Miller,Von Miller
22,5,8140,Von Miller,Von Miller
22,6,70963,Von Miller,Von Miller
22,7,21383,Von Miller,Von Miller
22,10,33161,Von Miller,Von Miller
22,11,13156,Von Miller,Von Miller
22,12,43589,Von Miller,Von Miller
22,13,38498,Von Miller,Von Miller
22,16,54182,Von Miller,Von Miller
22,4,7596,Wanya Morris,Wanya Morris
22,5,6874,Wanya Morris,Wanya Morris
22,6,28350,Wanya Morris,Wanya Morris
22,7,11749,Wanya Morris,Wanya Morris
22,10,15707,Wanya Morris,Wanya Morris
22,11,93651,Wanya Morris,Wanya Morris
22,12,23243,Wanya Morris,Wanya Morris
22,13,10250,Wanya Morris,Wanya Morris
22,16,31087,Wanya Morris,Wanya Morris
