season,week,accept_rate
1,2,0.18
1,3,0.38666666666666666
1,4,0.20733333333333334
2,1,0.252
2,2,0.31266666666666665
2,3,0.13866666666666666
2,4,0.4146666666666667
2,5,0.592
2,6,0.24
2,7,0.3313333333333333
3,1,0.49866666666666665
3,2,0.22933333333333333
3,3,0.24533333333333332
3,4,0.26466666666666666
3,5,0.30933333333333335
3,7,0.44666666666666666
3,8,0.49733333333333335
4,2,0.23733333333333334
4,3,0.26466666666666666
4,4,0.3526666666666667
4,5,0.5066666666666667
4,6,0.30133333333333334
4,7,0.3933333333333333
4,8,0.45866666666666667
4,9,0.522
5,1,0.42866666666666664
5,2,0.20066666666666666
5,3,0.4013333333333333
5,4,0.2853333333333333
5,5,0.32
5,6,0.3586666666666667
5,7,0.3486666666666667
5,8,0.36333333333333334
5,9,0.492
6,2,0.5206666666666667
6,3,0.24733333333333332
6,4,0.3446666666666667
6,5,0.366
6,6,0.3466666666666667
6,7,0.262
6,8,0.356
6,9,0.5086666666666667
7,1,0.6266666666666667
7,2,0.2733333333333333
7,4,0.3933333333333333
7,5,0.318
7,6,0.478
7,7,0.3413333333333333
7,8,0.372
7,9,0.47733333333333333
8,2,0.18866666666666668
8,3,0.2986666666666667
8,4,0.6186666666666667
8,5,0.25333333333333335
8,6,0.4086666666666667
8,7,0.40066666666666667
8,8,0.3453333333333333
8,9,0.36466666666666664
8,10,0.528
9,1,0.414
9,2,0.198
9,3,0.216
9,4,0.32666666666666666
9,5,0.26866666666666666
9,6,0.5553333333333333
9,7,0.5226666666666666
9,8,0.472
9,9,0.4246666666666667
10,2,0.20266666666666666
10,3,0.4593333333333333
10,4,0.3373333333333333
10,5,0.402
10,6,0.4086666666666667
10,7,0.256
10,8,0.42866666666666664
10,9,0.496
11,1,0.29
11,2,0.5126666666666667
11,3,0.296
11,4,0.38266666666666665
11,5,0.31666666666666665
11,6,0.2926666666666667
11,7,0.33666666666666667
11,8,0.406
11,9,0.5133333333333333
12,2,0.282
12,3,0.484
12,4,0.274
12,5,0.31466666666666665
12,6,0.37933333333333336
12,7,0.31466666666666665
12,8,0.3893333333333333
12,9,0.5126666666666667
13,1,0.35933333333333334
13,2,0.158
13,3,0.16466666666666666
13,4,0.24666666666666667
13,5,0.3913333333333333
13,6,0.3453333333333333
13,7,0.32266666666666666
13,8,0.4826666666666667
13,9,0.54
14,2,0.368
14,3,0.184
14,4,0.2673333333333333
14,5,0.37266666666666665
14,6,0.432
14,7,0.292
14,8,0.5273333333333333
14,9,0.496
15,1,0.31466666666666665
15,2,0.19533333333333333
15,3,0.3506666666666667
15,4,0.30333333333333334
15,6,0.21666666666666667
15,8,0.46
15,9,0.528
16,3,0.43466666666666665
16,4,0.3333333333333333
16,5,0.406
16,6,0.308
16,7,0.4706666666666667
16,8,0.454
16,9,0.42733333333333334
16,10,0.49533333333333335
17,2,0.33066666666666666
17,3,0.406
17,4,0.35533333333333333
17,5,0.16466666666666666
17,7,0.22133333333333333
17,8,0.31666666666666665
17,9,0.24933333333333332
17,10,0.4266666666666667
17,11,0.5026666666666667
18,2,0.8193333333333334
18,5,0.254
18,6,0.30466666666666664
18,7,0.3293333333333333
18,8,0.32066666666666666
18,9,0.368
18,10,0.4553333333333333
19,1,0.28933333333333333
19,2,0.19
19,3,0.29133333333333333
19,4,0.3
19,6,0.24466666666666667
19,7,0.276
19,8,0.37933333333333336
19,9,0.376
19,10,0.406
19,11,0.538
20,2,0.18333333333333332
20,3,0.31
20,4,0.284
20,5,0.25733333333333336
20,6,0.296
20,7,0.228
20,8,0.5773333333333334
20,9,0.4533333333333333
21,2,0.5846666666666667
21,4,0.41533333333333333
21,6,0.44666666666666666
21,7,0.2793333333333333
21,8,0.378
21,9,0.2866666666666667
21,11,0.5033333333333333
22,2,0.508
22,3,0.324
22,4,0.2806666666666667
22,6,0.3273333333333333
22,7,0.414
22,8,0.30733333333333335
22,9,0.546
23,2,0.24066666666666667
23,3,0.27266666666666667
23,4,0.49
23,6,0.37333333333333335
23,7,0.268
23,8,0.3586666666666667
23,9,0.3233333333333333
23,10,0.332
23,11,0.5113333333333333
24,2,0.33666666666666667
24,3,0.29933333333333334
24,4,0.2846666666666667
24,5,0.23333333333333334
24,6,0.182
24,7,0.5
24,8,0.43933333333333335
24,9,0.43733333333333335
25,2,0.4686666666666667
25,4,0.196
25,5,0.2793333333333333
25,6,0.37066666666666664
25,7,0.40066666666666667
25,8,0.33866666666666667
25,9,0.35
25,10,0.432
26,1,0.45866666666666667
26,2,0.49533333333333335
26,3,0.6693333333333333
27,1,0.21466666666666667
27,2,0.27666666666666667
27,3,0.242
27,4,0.16533333333333333
27,6,0.2613333333333333
27,7,0.45066666666666666
27,8,0.5133333333333333
28,2,0.414
28,4,0.5493333333333333
28,6,0.016666666666666666
28,7,0.38666666666666666
28,8,0.37333333333333335
28,9,0.674
28,10,0.7393333333333333
29,2,0.432
29,3,0.4646666666666667
29,4,0.524
29,5,0.478
29,6,0.448
29,7,0.5766666666666667
29,8,0.372
29,9,0.392
29,10,0.8153333333333334
30,2,0.44666666666666666
30,3,0.084
30,4,0.7826666666666666
30,5,0.034666666666666665
30,6,0.5266666666666666
30,7,0.5046666666666667
30,8,0.7826666666666666
30,9,0.7793333333333333
31,1,0.334
31,2,0.45266666666666666
31,3,0.3626666666666667
31,4,0.49866666666666665
31,5,0.43466666666666665
31,6,0.4746666666666667
31,7,0.43533333333333335
31,8,0.86
31,9,0.9053333333333333
32,1,0.37733333333333335
32,2,0.22
32,3,0.5413333333333333
32,4,0.21266666666666667
32,5,0.38333333333333336
32,6,0.24866666666666667
32,7,0.076
32,8,0.2926666666666667
32,9,0.562
33,2,0.5526666666666666
33,3,0.794
33,4,0.47333333333333333
33,5,0.482
33,6,0.22
33,7,0.5806666666666667
34,2,0.7526666666666667
34,3,0.43933333333333335
34,4,0.24466666666666667
34,6,0.424
34,7,0.3006666666666667
34,8,0.4866666666666667
34,9,0.512
34,10,0.254
