season,week,gap_prob
1,2,0.34444444444444444
1,3,0.09310344827586207
1,4,0.1864951768488746
2,1,0.32275132275132273
2,2,0.5501066098081023
2,3,0.42788461538461536
2,4,0.16881028938906753
2,5,0.3141891891891892
2,6,0.18888888888888888
2,7,0.14688128772635814
3,1,0.40240641711229946
3,2,0.7848837209302325
3,3,0.592391304347826
3,4,0.5491183879093199
3,5,0.4267241379310345
3,7,0.18955223880597014
3,8,0.15147453083109919
4,2,0.8764044943820225
4,3,0.7556675062972292
4,4,0.42911153119092627
4,5,0.20526315789473684
4,6,0.3893805309734513
4,7,0.20847457627118643
4,8,0.18604651162790697
4,9,0.15964240102171137
5,1,0.687402799377916
5,2,0.8870431893687708
5,3,0.45182724252491696
5,4,0.6074766355140186
5,5,0.47708333333333336
5,6,0.41263940520446096
5,7,0.2695984703632887
5,8,0.22752293577981653
5,9,0.15582655826558264
6,2,0.7323943661971831
6,3,0.6765498652291105
6,4,0.45454545454545453
6,5,0.4080145719489982
6,6,0.33076923076923076
6,7,0.3511450381679389
6,8,0.26591760299625467
6,9,0.15072083879423329
7,1,0.5840425531914893
7,2,0.7926829268292683
7,4,0.423728813559322
7,5,0.4758909853249476
7,6,0.16736401673640167
7,7,0.361328125
7,8,0.18996415770609318
7,9,0.1871508379888268
8,2,0.8692579505300353
8,3,0.6964285714285714
8,4,0.5431034482758621
8,5,0.6552631578947369
8,6,0.3262642740619902
8,7,0.33777038269550747
8,8,0.3030888030888031
8,9,0.2577696526508227
8,10,0.14772727272727273
9,1,0.9146537842190016
9,2,0.9057239057239057
9,3,0.8981481481481481
9,4,0.6
9,5,0.6997518610421837
9,6,0.503001200480192
9,7,0.4604591836734694
9,8,0.2528248587570621
9,9,0.16797488226059654
10,2,0.9177631578947368
10,3,0.41654571843251087
10,4,0.5
10,5,0.3333333333333333
10,6,0.27895595432300163
10,7,0.4244791666666667
10,8,0.15241057542768274
10,9,0.18010752688172044
11,1,0.7609195402298851
11,2,0.4070221066319896
11,3,0.5518018018018018
11,4,0.39198606271777003
11,5,0.4884210526315789
11,6,0.5375854214123007
11,7,0.3108910891089109
11,8,0.22660098522167488
11,9,0.18441558441558442
12,2,0.7446808510638298
12,3,0.41597796143250687
12,4,0.5717761557177615
12,5,0.4533898305084746
12,6,0.24077328646748683
12,7,0.3050847457627119
12,8,0.2363013698630137
12,9,0.08452535760728218
13,1,0.7551020408163265
13,2,0.919831223628692
13,3,0.7651821862348178
13,4,0.5756756756756757
13,5,0.4190800681431005
13,6,0.3166023166023166
13,7,0.30165289256198347
13,8,0.1574585635359116
13,9,0.15555555555555556
14,2,0.6920289855072463
14,3,0.855072463768116
14,4,0.6982543640897756
14,5,0.46511627906976744
14,6,0.29475308641975306
14,7,0.3721461187214612
14,8,0.3223767383059418
14,9,0.1774193548387097
15,1,0.8559322033898306
15,2,0.8976109215017065
15,3,0.8479087452471483
15,4,0.5714285714285714
15,6,0.6430769230769231
15,8,0.39855072463768115
15,9,0.21843434343434343
16,3,0.50920245398773
16,4,0.6
16,5,0.4367816091954023
16,6,0.4329004329004329
16,7,0.19405099150141644
16,8,0.23201174743024963
16,9,0.1934477379095164
16,10,0.12920592193808883
17,2,0.7560483870967742
17,3,0.4351395730706076
17,4,0.43151969981238275
17,5,0.7246963562753036
17,7,0.6024096385542169
17,8,0.4442105263157895
17,9,0.3770053475935829
17,10,0.16875
17,11,0.15251989389920426
18,2,0.17168429617575265
18,5,0.6010498687664042
18,6,0.4420131291028446
18,7,0.3785425101214575
18,8,0.38253638253638256
18,9,0.1793478260869565
18,10,0.11420204978038068
19,1,0.8064516129032258
19,2,0.8807017543859649
19,3,0.6773455377574371
19,4,0.64
19,6,0.659400544959128
19,7,0.46618357487922707
19,8,0.2688927943760984
19,9,0.33687943262411346
19,10,0.21674876847290642
19,11,0.14622057001239158
20,2,0.9781818181818182
20,3,0.578494623655914
20,4,0.7582159624413145
20,5,0.5647668393782384
20,6,0.5405405405405406
20,7,0.4824561403508772
20,8,0.312933025404157
20,9,0.125
21,2,0.7651083238312428
21,4,0.3884430176565008
21,6,0.3567164179104478
21,7,0.5441527446300716
21,8,0.32451499118165783
21,9,0.33488372093023255
21,11,0.17218543046357615
22,2,0.5039370078740157
22,3,0.6934156378600823
22,4,0.7387173396674585
22,6,0.5417515274949084
22,7,0.5571658615136876
22,8,0.3579175704989154
22,9,0.25396825396825395
23,2,0.9335180055401662
23,3,0.8019559902200489
23,4,0.6829931972789116
23,6,0.5553571428571429
23,7,0.5049751243781094
23,8,0.34944237918215615
23,9,0.38969072164948454
23,10,0.19879518072289157
23,11,0.16558018252933507
24,2,0.7227722772277227
24,3,0.6547884187082406
24,4,0.65807962529274
24,5,0.5971428571428572
24,6,0.5970695970695971
24,7,0.38
24,8,0.17298937784522003
24,9,0.21036585365853658
25,2,0.8605974395448079
25,4,0.7891156462585034
25,5,0.7159904534606205
25,6,0.42805755395683454
25,7,0.5158069883527454
25,8,0.33267716535433073
25,9,0.21142857142857144
25,10,0.12962962962962962
26,1,0.7020348837209303
26,2,0.48183041722745623
26,3,0.32270916334661354
27,1,0.9130434782608695
27,2,0.8072289156626506
27,3,0.696969696969697
27,4,0.9153225806451613
27,6,0.673469387755102
27,7,0.5266272189349113
27,8,0.24025974025974026
28,2,0.7729468599033816
28,4,0.5521844660194175
28,6,0.72
28,7,0.4810344827586207
28,8,0.3410714285714286
28,9,0.3086053412462908
28,10,0.2146077547339946
29,2,0.9490740740740741
29,3,0.6901004304160688
29,4,0.9249363867684478
29,5,0.7447698744769874
29,6,0.7514880952380952
29,7,0.6624277456647398
29,8,0.532258064516129
29,9,0.3673469387755102
29,10,0.36140637775960754
30,2,0.7223880597014926
30,3,0.9841269841269841
30,4,0.883304940374787
30,5,0.75
30,6,0.710126582278481
30,7,0.6406869220607662
30,8,0.4557069846678024
30,9,0.281437125748503
31,1,0.936127744510978
31,2,0.9410898379970545
31,3,0.9264705882352942
31,4,0.7967914438502673
31,5,0.8957055214723927
31,6,0.6460674157303371
31,7,0.6799387442572741
31,8,0.4201550387596899
31,9,0.26362297496318116
32,1,0.8144876325088339
32,2,0.7575757575757576
32,3,0.7598522167487685
32,4,0.7021943573667712
32,5,0.5930434782608696
32,6,0.6273458445040214
32,7,0.631578947368421
32,8,0.40774487471526194
32,9,0.23843416370106763
33,2,0.8311218335343787
33,3,0.6423173803526449
33,4,0.6450704225352113
33,5,0.5435684647302904
33,6,0.38181818181818183
33,7,0.24799081515499427
34,2,0.8644818423383526
34,3,0.802731411229135
34,4,0.7956403269754768
34,6,0.6871069182389937
34,7,0.5676274944567627
34,8,0.5698630136986301
34,9,0.3658854166666667
34,10,0.3333333333333333
