factor,season,week,contestant,p_wrongful,ci_lower,ci_upper,classification,interval_width,n_samples
0.12,28,2,Mary Wilson,0.9215,0.908887997331514,0.9324958725312535,Uncertain,0.8900000000000001,2000
0.12,28,4,Lamar Odom,0.909,0.8955985748851946,0.920833222917586,Uncertain,0.8799999999999999,2000
0.12,28,6,Sailor Brinkley-Cook,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.9266666666666667,2000
0.12,28,7,Karamo Brown,0.8825,0.8676482451521571,0.8958851598834504,Uncertain,0.895,2000
0.12,28,8,Kate Flannery,0.78,0.761317531915067,0.7976088822286459,Uncertain,0.8971428571428572,2000
0.12,28,9,Sean Spicer,0.3555,0.3348169126308299,0.3767371343557182,Uncertain,0.8799999999999999,2000
0.12,28,10,James Van Der Beek,0.403,0.381708627660885,0.4246632931536145,Uncertain,0.8799999999999999,2000
0.12,29,2,Charles Oakley,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8799999999999999,2000
0.12,29,3,Carole Baskin,0.9955,0.9914693900665024,0.9976307463913892,Definite-Wrongful,0.8799999999999999,2000
0.12,29,4,Anne Heche,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8846153846153846,2000
0.12,29,5,Jesse Metcalfe,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.885,2000
0.12,29,6,Veron Davis,0.932,0.9201180659341152,0.9422255444590416,Uncertain,0.8854545454545455,2000
0.12,29,7,Monica Aldama,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8799999999999999,2000
0.12,29,8,Chrishell Stause,0.8515,0.8352418685486327,0.8664103977782067,Uncertain,0.895,2000
0.12,29,9,AJ McLean,0.6095,0.587928035713998,0.6306521155314897,Uncertain,0.8885714285714286,2000
0.12,29,10,Skai Jackson,0.664,0.643001892438018,0.6843692929890138,Uncertain,0.8900000000000001,2000
0.12,29,10,Johnny Weir,0.77,0.7510489993028844,0.7879157571928388,Uncertain,0.8999999999999999,2000
0.12,30,2,Martin Kove,0.9975,0.9941607609565954,0.9989317070308944,Definite-Wrongful,0.8799999999999999,2000
0.12,30,3,Christine Chiu,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.9057142857142856,2000
0.12,30,4,Brian Austin Green,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8799999999999999,2000
0.12,30,4,Matt James,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8846153846153846,2000
0.12,30,5,Melanie C,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.9127272727272726,2000
0.12,30,6,Kenya Moore,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8799999999999999,2000
0.12,30,7,"Mike ""The Miz"" Mizanin",0.687,0.6663346470193717,0.7069483509980367,Uncertain,0.8799999999999999,2000
0.12,30,8,Jimmie Allen,0.5035,0.4816013746751562,0.5253852055016401,Uncertain,0.8799999999999999,2000
0.12,30,8,Olivia Jade,0.8635,0.8477548066170306,0.8778514488873965,Uncertain,0.895,2000
0.12,30,9,Melora Hardin,0.596,0.5743300283791296,0.6173018850415718,Uncertain,0.8900000000000001,2000
0.12,30,9,Suni Lee,0.9025,0.8887172189824126,0.9147395013491744,Uncertain,0.8999999999999999,2000
0.12,31,1,Jason Lewis,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.88375,2000
0.12,31,2,Teresa Giudice,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8839999999999999,2000
0.12,31,3,Cheryl Ladd,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8842857142857143,2000
0.12,31,4,Sam Champion,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8799999999999999,2000
0.12,31,5,Joseph Baena,0.0,0.0,0.0019171176005129,Definite-Correct,0.8900000000000001,2000
0.12,31,6,Jessie James Decker,0.9995,0.9971730649772385,0.9999117345398496,Definite-Wrongful,0.8860000000000001,2000
0.12,31,7,Jordin Sparks,0.643,0.6217460662132737,0.6637056381529798,Uncertain,0.8866666666666667,2000
0.12,31,8,Heidi D'Amelio,0.629,0.6075999660602796,0.6499054175987882,Uncertain,0.8875,2000
0.12,31,8,Vinny Guadagnino,0.5435,0.521607004539553,0.5652262062292023,Uncertain,0.8799999999999999,2000
0.12,31,9,Trevor Donovan,0.6015,0.5798679071210117,0.6227429180060843,Uncertain,0.8799999999999999,2000
0.12,31,9,Daniel Durant,0.705,0.684635336250235,0.7245786455335547,Uncertain,0.8900000000000001,2000
0.12,32,1,Matt Walsh,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8885714285714286,2000
0.12,32,2,Jamie Lynn Spears,0.0005,8.826546015058292e-05,0.0028269350227618,Definite-Correct,0.8984615384615384,2000
0.12,32,3,Tyson Beckford,0.9995,0.9971730649772385,0.9999117345398496,Definite-Wrongful,0.8799999999999999,2000
0.12,32,4,Adrian Peterson,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.901818181818182,2000
0.12,32,5,Mira Sorvino,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8919999999999999,2000
0.12,32,6,Mauricio Umansky,0.9155,0.9024992477870032,0.9269076274869708,Uncertain,0.8999999999999999,2000
0.12,32,7,Lele Pons,0.9825,0.9757596590525046,0.9873903224630004,Definite-Wrongful,0.9175,2000
0.12,32,8,Barry Williams,0.8925,0.8781643924974155,0.9053306701861816,Uncertain,0.8971428571428572,2000
0.12,32,9,Harry Jowsey,0.484,0.4621494134309505,0.5059119343322659,Uncertain,0.8799999999999999,2000
0.15,28,2,Mary Wilson,0.9085,0.8950685775433915,0.9203651373769894,Uncertain,0.85625,2000
0.15,28,4,Lamar Odom,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8500000000000001,2000
0.15,28,6,Sailor Brinkley-Cook,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.9166666666666664,2000
0.15,28,7,Karamo Brown,0.8405,0.823802458259286,0.8558919846547648,Uncertain,0.8687499999999999,2000
0.15,28,8,Kate Flannery,0.9055,0.8918909444293617,0.9175542731966224,Uncertain,0.8714285714285714,2000
0.15,28,9,Sean Spicer,0.38,0.3589762113636237,0.4014838968604994,Uncertain,0.8500000000000001,2000
0.15,28,10,James Van Der Beek,0.419,0.3975514603493293,0.4407591127019538,Uncertain,0.8500000000000001,2000
0.15,29,2,Charles Oakley,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8500000000000001,2000
0.15,29,3,Carole Baskin,0.282,0.2627114613762438,0.3021244018975796,Uncertain,0.8500000000000001,2000
0.15,29,4,Anne Heche,0.998,0.99486856559536,0.9992219852745292,Definite-Wrongful,0.8500000000000001,2000
0.15,29,5,Jesse Metcalfe,0.8895,0.8750058976192777,0.9025006677699228,Uncertain,0.85625,2000
0.15,29,6,Veron Davis,0.856,0.8399299338180118,0.870705078450423,Uncertain,0.8568181818181819,2000
0.15,29,7,Monica Aldama,0.188,0.1714803932720714,0.2057158881106487,Uncertain,0.8500000000000001,2000
0.15,29,8,Chrishell Stause,0.874,0.858735326365837,0.8878306696689793,Uncertain,0.8687499999999999,2000
0.15,29,9,AJ McLean,0.7195,0.6994046082272621,0.7387537771461127,Uncertain,0.8607142857142858,2000
0.15,29,10,Skai Jackson,0.7605,0.741307471008764,0.7786937107213686,Uncertain,0.8625,2000
0.15,29,10,Johnny Weir,0.836,0.8191305773737494,0.851581119598706,Uncertain,0.875,2000
0.15,30,2,Martin Kove,0.438,0.4163950465231388,0.4598426760593248,Uncertain,0.8500000000000001,2000
0.15,30,3,Christine Chiu,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8821428571428571,2000
0.15,30,4,Brian Austin Green,0.9935,0.9889103647969808,0.9961974401313132,Definite-Wrongful,0.8500000000000001,2000
0.15,30,4,Matt James,0.999,0.9963609898107716,0.9997257268239166,Definite-Wrongful,0.8557692307692308,2000
0.15,30,5,Melanie C,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8977272727272727,2000
0.15,30,6,Kenya Moore,0.9925,0.9876619756196672,0.9954496635438278,Definite-Wrongful,0.8500000000000001,2000
0.15,30,7,"Mike ""The Miz"" Mizanin",1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8500000000000001,2000
0.15,30,8,Jimmie Allen,0.6535,0.6323683906800028,0.6740430542166396,Uncertain,0.8500000000000001,2000
0.15,30,8,Olivia Jade,0.812,0.7942841118893514,0.8285196067279287,Uncertain,0.8687499999999999,2000
0.15,30,9,Melora Hardin,0.63,0.6086097665542372,0.6508917828696295,Uncertain,0.8625,2000
0.15,30,9,Suni Lee,0.892,0.8776377511773512,0.9048592286238468,Uncertain,0.875,2000
0.15,31,1,Jason Lewis,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8546875,2000
0.15,31,2,Teresa Giudice,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.855,2000
0.15,31,3,Cheryl Ladd,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8553571428571429,2000
0.15,31,4,Sam Champion,0.991,0.9858178431626362,0.99429954735366,Definite-Wrongful,0.8500000000000001,2000
0.15,31,5,Joseph Baena,0.9425,0.931423506198168,0.951879844725378,Uncertain,0.8625,2000
0.15,31,6,Jessie James Decker,0.994,0.9895414478401516,0.9965644399705414,Definite-Wrongful,0.8574999999999999,2000
0.15,31,7,Jordin Sparks,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8583333333333334,2000
0.15,31,8,Heidi D'Amelio,0.781,0.762345217372498,0.7985773625360137,Uncertain,0.859375,2000
0.15,31,8,Vinny Guadagnino,0.494,0.4721206252401644,0.5159023801710417,Uncertain,0.8500000000000001,2000
0.15,31,9,Trevor Donovan,0.432,0.4104409277866626,0.4538198002070071,Uncertain,0.8500000000000001,2000
0.15,31,9,Daniel Durant,0.72,0.6999143384122797,0.7392421298434946,Uncertain,0.8625,2000
0.15,32,1,Matt Walsh,0.9905,0.9852094988443748,0.993909808789522,Definite-Wrongful,0.8500000000000001,2000
0.15,32,2,Jamie Lynn Spears,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8730769230769231,2000
0.15,32,3,Tyson Beckford,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8500000000000001,2000
0.15,32,4,Adrian Peterson,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.8772727272727274,2000
0.15,32,5,Mira Sorvino,0.0,0.0,0.0019171176005129,Definite-Correct,0.865,2000
0.15,32,6,Mauricio Umansky,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.875,2000
0.15,32,7,Lele Pons,0.993,0.9882840292676032,0.995825692778291,Definite-Wrongful,0.8968750000000001,2000
0.15,32,8,Barry Williams,0.8655,0.8498439543309021,0.879754632703123,Uncertain,0.8714285714285714,2000
0.15,32,9,Harry Jowsey,0.4225,0.4010201973971314,0.4442769558309481,Uncertain,0.8500000000000001,2000
0.2,28,2,Mary Wilson,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8083333333333333,2000
0.2,28,4,Lamar Odom,0.661,0.6399625943864469,0.6814200937461881,Uncertain,0.8,2000
0.2,28,6,Sailor Brinkley-Cook,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8888888888888888,2000
0.2,28,7,Karamo Brown,0.5375,0.5155971983070781,0.5592590178728835,Uncertain,0.825,2000
0.2,28,8,Kate Flannery,0.8492957746478873,0.8297464061369801,0.8669603061827047,Uncertain,0.8285714285714285,1420
0.2,28,9,Sean Spicer,0.3945,0.3733017346653754,0.4161027771483329,Uncertain,0.8,2000
0.2,28,10,James Van Der Beek,0.4765,0.4546767486796619,0.4984133558475622,Uncertain,0.8,2000
0.2,29,2,Charles Oakley,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8066666666666666,2000
0.2,29,3,Carole Baskin,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8,2000
0.2,29,4,Anne Heche,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8,2000
0.2,29,5,Jesse Metcalfe,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8083333333333333,2000
0.2,29,6,Veron Davis,0.0,0.0,0.0019171176005129348,Definite-Correct,0.8090909090909091,2000
0.2,29,7,Monica Aldama,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8,2000
0.2,29,8,Chrishell Stause,0.0025,0.0010682929691057186,0.005839239043404651,Definite-Correct,0.825,2000
0.2,29,9,AJ McLean,0.7698744769874477,0.747384792114934,0.7909220700595921,Uncertain,0.8142857142857143,1434
0.2,29,10,Skai Jackson,0.77,0.7510489993028844,0.7879157571928388,Uncertain,0.8166666666666667,2000
0.2,29,10,Johnny Weir,0.835,0.8180929771812787,0.8506225540263775,Uncertain,0.8333333333333335,2000
0.2,30,2,Martin Kove,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8,2000
0.2,30,3,Christine Chiu,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.842857142857143,2000
0.2,30,4,Brian Austin Green,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8,2000
0.2,30,4,Matt James,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8076923076923077,2000
0.2,30,5,Melanie C,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8545454545454545,2000
0.2,30,6,Kenya Moore,0.0,0.0,0.0019171176005129348,Definite-Correct,0.8,2000
0.2,30,7,"Mike ""The Miz"" Mizanin",0.9445,0.9335869764568508,0.9537087059962933,Uncertain,0.8,2000
0.2,30,8,Jimmie Allen,0.0,0.0,0.0019171176005129348,Definite-Correct,0.8,2000
0.2,30,8,Olivia Jade,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.825,2000
0.2,30,9,Melora Hardin,0.7425,0.7228841972749136,0.7611860006888378,Uncertain,0.8166666666666667,2000
0.2,30,9,Suni Lee,0.9045,0.8908326098943614,0.9166164419668236,Uncertain,0.8500000000000001,2000
0.2,31,1,Jason Lewis,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8062499999999999,2000
0.2,31,2,Teresa Giudice,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8066666666666666,2000
0.2,31,3,Cheryl Ladd,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8071428571428572,2000
0.2,31,4,Sam Champion,0.995,0.990820204876819,0.9972818486986733,Definite-Wrongful,0.8,2000
0.2,31,5,Joseph Baena,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8166666666666667,2000
0.2,31,6,Jessie James Decker,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.81,2000
0.2,31,7,Jordin Sparks,0.0,0.0,0.0019171176005129348,Definite-Correct,0.8111111111111111,2000
0.2,31,8,Heidi D'Amelio,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8125,2000
0.2,31,8,Vinny Guadagnino,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8,2000
0.2,31,9,Trevor Donovan,0.4965,0.4746147944983598,0.5183986253248437,Uncertain,0.8,2000
0.2,31,9,Daniel Durant,0.787,0.768514596294461,0.8043849782028448,Uncertain,0.8166666666666667,2000
0.2,32,1,Matt Walsh,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8142857142857143,2000
0.2,32,2,Jamie Lynn Spears,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8307692307692307,2000
0.2,32,3,Tyson Beckford,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8,2000
0.2,32,4,Adrian Peterson,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8454545454545455,2000
0.2,32,5,Mira Sorvino,1.0,0.9980828823994873,1.0,Definite-Wrongful,0.8199999999999998,2000
0.2,32,6,Mauricio Umansky,0.0005,8.826546015058292e-05,0.0028269350227618393,Definite-Correct,0.8333333333333335,2000
0.2,32,7,Lele Pons,0.916,0.9030309246879455,0.9273740334684277,Uncertain,0.8625,2000
0.2,32,8,Barry Williams,0.8587030716723549,0.8399264399986116,0.8756034033827303,Uncertain,0.8285714285714285,1465
0.2,32,9,Harry Jowsey,0.4995,0.47760851872748716,0.5213933983901136,Uncertain,0.8,2000
